ram,size,camera,product,Brand,Model,battery,price
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
32,6.5,8,گوشی موبايل,سامسونگ,  Galaxy A03 Core ,5000,3795000
32,6.53,13,گوشی موبایل, شیائومی, Redmi 9A ,5000,3649000
128,6.1,12,گوشی موبایل, اپل,iPhone 13 CH/A Not Active ,3240,11550000
128,6.43,108,گوشی موبایل, شیائومی, Redmi Note 11S ,5000,13680000
128,6.43,50,گوشی موبایل, شیائومی,Redmi Note 11 ,5000,10239000
4MB,1.77,X,گوشی موبايل,نوکيا,105 (2019) ,800,679000
50,64,6.6,گوشی موبایل, سامسونگ,  Galaxy A13 SM-A137 ,5000,7549000
